votes_dem,votes_gop,total_votes,per_dem,per_gop,per_dem2,per_gop2,state_abbr,county_name
2802,9642,13039,0.21489378,0.739473886,21.49,73.95,IN,Adams County
55222,83801,145787,0.378785488,0.574818056,37.88,57.48,IN,Allen County
9841,20637,32389,0.303837723,0.637160764,30.38,63.72,IN,Bartholomew County
860,2579,3654,0.235358511,0.705801861,23.54,70.58,IN,Benton County
1243,3349,4822,0.257776856,0.694525093,25.78,69.45,IN,Blackford County
10181,19654,32061,0.317550919,0.613018933,31.76,61.30,IN,Boone County
2518,5015,7908,0.318411735,0.634167931,31.84,63.42,IN,Brown County
1891,6273,8609,0.219653851,0.728656058,21.97,72.87,IN,Carroll County
3758,9697,14135,0.265864874,0.686027591,26.59,68.60,IN,Cass County
18791,30012,51104,0.367701158,0.587273012,36.77,58.73,IN,Clark County
2306,8528,11259,0.204813927,0.757438494,20.48,75.74,IN,Clay County
2819,8530,11896,0.23697041,0.717047747,23.70,71.70,IN,Clinton County
1323,3013,4591,0.288172511,0.656284034,28.82,65.63,IN,Crawford County
1800,8545,10736,0.167660209,0.795920268,16.77,79.59,IN,Daviess County
4883,18110,23910,0.204224174,0.757423672,20.42,75.74,IN,Dearborn County
2121,8488,11095,0.191167192,0.765029292,19.12,76.50,IN,Decatur County
3941,12054,16816,0.234360133,0.716817317,23.44,71.68,IN,DeKalb County
18100,24217,44699,0.404930759,0.541779458,40.49,54.18,IN,Delaware County
5389,13365,19917,0.270572877,0.671034794,27.06,67.10,IN,Dubois County
20667,41810,65187,0.317041741,0.641385552,31.70,64.14,IN,Elkhart County
2252,6839,9530,0.236306401,0.717628541,23.63,71.76,IN,Fayette County
13939,21427,37225,0.374452653,0.57560779,37.45,57.56,IN,Floyd County
1476,5661,7474,0.197484613,0.757425743,19.75,75.74,IN,Fountain County
1967,8665,10990,0.178980892,0.78844404,17.90,78.84,IN,Franklin County
1960,6010,8374,0.234057798,0.717697636,23.41,71.77,IN,Fulton County
3720,11079,15472,0.240434333,0.716067735,24.04,71.61,IN,Gibson County
7029,17009,25239,0.278497563,0.67391735,27.85,67.39,IN,Grant County
2929,10275,13763,0.212816973,0.746566882,21.28,74.66,IN,Greene County
57214,87299,153630,0.372414242,0.56824188,37.24,56.82,IN,Hamilton County
8901,25050,36027,0.247064701,0.695311849,24.71,69.53,IN,Hancock County
4776,12993,18528,0.257772021,0.701262953,25.78,70.13,IN,Harrison County
22595,48326,75258,0.300233862,0.642137713,30.02,64.21,IN,Hendricks County
5124,13895,20075,0.255242839,0.692154421,25.52,69.22,IN,Henry County
11215,23675,36754,0.305136856,0.644147576,30.51,64.41,IN,Howard County
3506,11649,15974,0.219481658,0.729247527,21.95,72.92,IN,Huntington County
3843,12857,17532,0.219199179,0.733344741,21.92,73.33,IN,Jackson County
3329,9382,13331,0.249718701,0.70377316,24.97,70.38,IN,Jasper County
1889,5697,7962,0.237251947,0.715523738,23.73,71.55,IN,Jay County
4325,8538,13461,0.321298566,0.6342768,32.13,63.43,IN,Jefferson County
2364,8222,11115,0.21268556,0.739721098,21.27,73.97,IN,Jennings County
17318,45456,66229,0.26148666,0.686345861,26.15,68.63,IN,Johnson County
3772,11077,15483,0.243622037,0.715429826,24.36,71.54,IN,Knox County
6311,23909,31907,0.197793588,0.749334002,19.78,74.93,IN,Kosciusko County
2080,7025,9552,0.217755444,0.735448074,21.78,73.54,IN,LaGrange County
116896,75565,200247,0.583759058,0.377358962,58.38,37.74,IN,Lake County
19795,22678,44994,0.439947549,0.504022759,43.99,50.40,IN,LaPorte County
4210,14034,19076,0.220696163,0.735688824,22.07,73.57,IN,Lawrence County
18595,32376,53660,0.346533731,0.603354454,34.65,60.34,IN,Madison County
212676,130228,361070,0.58901598,0.360672446,58.90,36.07,IN,Marion County
4798,12286,18008,0.266437139,0.682252332,26.64,68.23,IN,Marshall County
881,3695,4807,0.183274392,0.768670689,18.33,76.87,IN,Martin County
2766,9975,13440,0.205803571,0.7421875,20.58,74.22,IN,Miami County
34183,20527,57623,0.593217986,0.356229283,59.32,35.62,IN,Monroe County
3362,11051,15101,0.222634263,0.731805841,22.26,73.18,IN,Montgomery County
6037,23671,31180,0.193617704,0.759172547,19.36,75.92,IN,Morgan County
1403,4074,5791,0.242272492,0.703505439,24.23,70.35,IN,Newton County
3904,12198,16890,0.231142688,0.722202487,23.11,72.22,IN,Noble County
686,2118,2917,0.235173123,0.726088447,23.52,72.61,IN,Ohio County
2048,5800,8189,0.250091586,0.708267188,25.01,70.83,IN,Orange County
1946,6151,8520,0.228403756,0.721948357,22.84,72.19,IN,Owen County
1441,4863,6576,0.21913017,0.739507299,21.91,73.95,IN,Parke County
3062,4556,8025,0.381557632,0.567725857,38.16,56.77,IN,Perry County
1297,4398,5977,0.216998494,0.735820646,21.70,73.58,IN,Pike County
33531,38719,76492,0.438359567,0.506183653,43.84,50.62,IN,Porter County
3515,8393,12448,0.282374679,0.674244859,28.24,67.42,IN,Posey County
1327,3854,5437,0.24406842,0.708846791,24.41,70.88,IN,Pulaski County
3356,10637,14680,0.228610354,0.724591281,22.86,72.46,IN,Putnam County
2446,7515,10456,0.23393267,0.71872609,23.39,71.87,IN,Randolph County
2471,9806,12790,0.193197811,0.766692729,19.32,76.67,IN,Ripley County
1525,5292,7214,0.211394511,0.733573607,21.14,73.36,IN,Rush County
2642,6074,9060,0.291611479,0.670419426,29.16,67.04,IN,Scott County
4247,12718,17935,0.236799554,0.709116253,23.68,70.91,IN,Shelby County
2861,6572,9959,0.287277839,0.659905613,28.73,65.99,IN,Spencer County
52247,52019,109452,0.477350802,0.475267697,47.74,47.53,IN,St. Joseph County
2489,6367,9226,0.269781054,0.690114893,26.98,69.01,IN,Starke County
3741,10127,14530,0.257467309,0.696971783,25.75,69.70,IN,Steuben County
2113,6138,8559,0.246874635,0.717139853,24.69,71.71,IN,Sullivan County
930,2558,3639,0.255564716,0.702940368,25.56,70.29,IN,Switzerland County
27207,30711,61916,0.439417921,0.496010724,43.94,49.60,IN,Tippecanoe County
1587,5589,7510,0.211318242,0.744207723,21.13,74.42,IN,Tipton County
715,2445,3286,0.217589775,0.744065733,21.76,74.41,IN,Union County
28296,40422,71957,0.393234849,0.561752158,39.32,56.18,IN,Vanderburgh County
2081,4511,6913,0.30102705,0.652538695,30.10,65.25,IN,Vermillion County
15922,21924,39569,0.402385706,0.554070105,40.24,55.41,IN,Vigo County
3018,9819,13415,0.224972046,0.731941856,22.50,73.19,IN,Wabash County
839,2896,3919,0.214085226,0.738964021,21.41,73.90,IN,Warren County
9086,19133,29609,0.306866156,0.646188659,30.69,64.62,IN,Warrick County
2636,8206,11333,0.232595076,0.72408012,23.26,72.41,IN,Washington County
8322,16028,25575,0.325395894,0.626705767,32.54,62.67,IN,Wayne County
2585,9999,13123,0.196982397,0.761944677,19.70,76.19,IN,Wells County
2563,6813,9902,0.258836599,0.68804282,25.88,68.80,IN,White County
3379,11357,15535,0.217508851,0.731058899,21.75,73.11,IN,Whitley County
