,State,County,Female (18-19),Female (20),Female (21),Female (22-24),Female (25-29),Female (30-34),Female (35-39),Female (40-44),Female (45-49),Female (50-54),Female (55-59),Female (60-61),Female (62-64),Female (65-66),Female (67-69),Female (70-74),Female (75-79),Female (80-84),Female (85 and over),Male (18-19),Male (20),Male (21),Male (22-24),Male (25-29),Male (30-34),Male (35-39),Male (40-44),Male (45-49),Male (50-54),Male (55-59),Male (60-61),Male (62-64),Male (65-66),Male (67-69),Male (70-74),Male (75-79),Male (80-84),Male (85 and over),Pop (18-19)
759,Indiana,Adams County,362.0,145.0,250.0,644.0,951.0,971.0,921.0,996.0,951.0,1076.0,1038.0,480.0,547.0,350.0,533.0,540.0,430.0,331.0,719.0,418.0,345.0,285.0,473.0,953.0,1093.0,943.0,952.0,1050.0,1024.0,994.0,397.0,572.0,337.0,335.0,536.0,451.0,194.0,277.0,780.0
760,Indiana,Allen County,4552.0,2281.0,2508.0,7806.0,12736.0,12169.0,11963.0,11260.0,11626.0,12414.0,12556.0,4515.0,6165.0,3831.0,4713.0,6124.0,4521.0,3634.0,4552.0,4782.0,2390.0,2724.0,7218.0,12215.0,11910.0,11405.0,11198.0,11250.0,12109.0,11663.0,4438.0,5673.0,3468.0,4189.0,4994.0,3427.0,2335.0,2145.0,9334.0
761,Indiana,Bartholomew County,733.0,540.0,332.0,1488.0,2671.0,2482.0,2691.0,2570.0,2646.0,2647.0,2846.0,790.0,1470.0,1069.0,1033.0,1582.0,1229.0,867.0,942.0,938.0,495.0,472.0,1658.0,3090.0,2817.0,2309.0,2944.0,2725.0,2661.0,2376.0,1000.0,1428.0,804.0,1094.0,1359.0,943.0,633.0,437.0,1671.0
762,Indiana,Benton County,85.0,30.0,55.0,127.0,216.0,258.0,210.0,299.0,296.0,353.0,321.0,118.0,152.0,89.0,120.0,212.0,136.0,103.0,138.0,99.0,34.0,50.0,192.0,244.0,251.0,227.0,261.0,297.0,318.0,332.0,104.0,158.0,77.0,129.0,179.0,141.0,54.0,39.0,184.0
763,Indiana,Blackford County,147.0,29.0,53.0,238.0,331.0,319.0,326.0,367.0,397.0,448.0,445.0,164.0,318.0,176.0,204.0,324.0,309.0,183.0,187.0,138.0,85.0,67.0,210.0,367.0,321.0,262.0,433.0,393.0,470.0,456.0,160.0,273.0,219.0,187.0,256.0,202.0,106.0,97.0,285.0
764,Indiana,Boone County,629.0,319.0,166.0,982.0,1711.0,1874.0,1856.0,2557.0,2398.0,2496.0,2140.0,823.0,919.0,526.0,612.0,1237.0,650.0,718.0,650.0,731.0,302.0,280.0,1002.0,1605.0,1767.0,1829.0,2325.0,2350.0,2444.0,2216.0,584.0,1010.0,532.0,453.0,1111.0,468.0,540.0,334.0,1360.0
765,Indiana,Brown County,137.0,89.0,91.0,173.0,284.0,351.0,324.0,432.0,511.0,592.0,794.0,164.0,479.0,300.0,415.0,319.0,281.0,148.0,171.0,225.0,29.0,64.0,180.0,309.0,331.0,410.0,455.0,508.0,596.0,711.0,251.0,374.0,307.0,263.0,457.0,161.0,179.0,148.0,362.0
766,Indiana,Carroll County,198.0,137.0,84.0,272.0,505.0,521.0,570.0,684.0,611.0,759.0,763.0,272.0,432.0,235.0,322.0,506.0,427.0,184.0,283.0,282.0,98.0,70.0,367.0,491.0,522.0,609.0,671.0,623.0,785.0,759.0,227.0,484.0,240.0,320.0,411.0,335.0,151.0,139.0,480.0
767,Indiana,Cass County,429.0,250.0,230.0,524.0,1061.0,1073.0,971.0,1318.0,1285.0,1346.0,1334.0,462.0,826.0,461.0,576.0,715.0,668.0,499.0,626.0,479.0,327.0,142.0,872.0,1052.0,1126.0,1173.0,1341.0,1335.0,1427.0,1408.0,479.0,654.0,399.0,533.0,663.0,494.0,313.0,253.0,908.0
768,Indiana,Clark County,1101.0,939.0,679.0,1901.0,3967.0,4010.0,3762.0,3948.0,3855.0,4050.0,3906.0,1690.0,2399.0,1250.0,1687.0,2346.0,1304.0,1203.0,1471.0,1300.0,708.0,642.0,1960.0,3874.0,3929.0,3780.0,4144.0,3833.0,3961.0,3841.0,1370.0,1934.0,984.0,1590.0,1853.0,1141.0,874.0,495.0,2401.0
