,State,County,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Home Value,Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate)
759,Indiana,Adams County,34813.0,33743.0,247.0,121.0,1533.0,114600.0,217.0,7627.0,1088.0,1594.0,2311.0,768.0,126.0,64.0
760,Indiana,Allen County,365565.0,290987.0,42168.0,12228.0,25810.0,116400.0,2265.0,58807.0,9682.0,23158.0,42160.0,16367.0,4152.0,1694.0
761,Indiana,Bartholomew County,80203.0,69108.0,1522.0,4585.0,5079.0,137500.0,527.0,15840.0,3056.0,4588.0,9685.0,5255.0,499.0,632.0
762,Indiana,Benton County,8709.0,8516.0,80.0,18.0,449.0,81500.0,23.0,2325.0,304.0,471.0,753.0,188.0,42.0,12.0
763,Indiana,Blackford County,12364.0,12036.0,75.0,38.0,176.0,67100.0,47.0,3748.0,447.0,755.0,546.0,315.0,51.0,42.0
764,Indiana,Boone County,61884.0,58207.0,807.0,1497.0,1603.0,195900.0,283.0,9031.0,1309.0,3025.0,10613.0,4608.0,1828.0,1084.0
765,Indiana,Brown County,14965.0,14542.0,41.0,44.0,230.0,171600.0,40.0,3295.0,685.0,914.0,1238.0,1076.0,169.0,105.0
766,Indiana,Carroll County,20007.0,19407.0,90.0,18.0,788.0,119200.0,116.0,5071.0,574.0,1193.0,1595.0,624.0,146.0,47.0
767,Indiana,Cass County,38324.0,32533.0,562.0,566.0,5391.0,82500.0,543.0,8775.0,1444.0,2257.0,2335.0,987.0,152.0,135.0
768,Indiana,Clark County,113993.0,100506.0,7917.0,891.0,5833.0,129500.0,753.0,21686.0,5062.0,7331.0,11116.0,3558.0,670.0,502.0
769,Indiana,Clay County,26568.0,25848.0,64.0,22.0,344.0,96600.0,149.0,7071.0,1098.0,1813.0,2007.0,814.0,201.0,67.0
770,Indiana,Clinton County,32692.0,30571.0,357.0,69.0,4812.0,98700.0,312.0,8429.0,1275.0,1535.0,2170.0,887.0,94.0,40.0
771,Indiana,Crawford County,10582.0,10322.0,19.0,14.0,154.0,88600.0,84.0,2767.0,766.0,519.0,437.0,221.0,57.0,11.0
772,Indiana,Daviess County,32583.0,31171.0,583.0,89.0,1508.0,113600.0,345.0,6372.0,923.0,1946.0,1721.0,892.0,148.0,52.0
773,Indiana,Dearborn County,49552.0,48123.0,417.0,207.0,584.0,159800.0,208.0,12022.0,1635.0,3195.0,4561.0,1816.0,352.0,60.0
774,Indiana,Decatur County,26340.0,25387.0,149.0,349.0,486.0,119300.0,104.0,6566.0,1137.0,1588.0,2106.0,858.0,196.0,56.0
775,Indiana,DeKalb County,42489.0,41184.0,153.0,155.0,1144.0,113800.0,181.0,10147.0,1698.0,2621.0,3272.0,1403.0,159.0,77.0
776,Indiana,Delaware County,116463.0,103243.0,7124.0,1512.0,2481.0,87800.0,537.0,21028.0,4286.0,6122.0,9560.0,5104.0,750.0,1128.0
777,Indiana,Dubois County,42345.0,40218.0,177.0,280.0,2831.0,140700.0,374.0,10649.0,870.0,3475.0,4004.0,1362.0,163.0,106.0
778,Indiana,Elkhart County,201640.0,176160.0,11296.0,2186.0,30252.0,125300.0,1999.0,38397.0,8295.0,7909.0,15497.0,6018.0,1241.0,478.0
779,Indiana,Fayette County,23608.0,22721.0,578.0,40.0,231.0,79900.0,217.0,5477.0,1605.0,1300.0,1208.0,409.0,118.0,20.0
780,Indiana,Floyd County,76290.0,68841.0,3937.0,810.0,2270.0,158300.0,448.0,14201.0,2291.0,4375.0,8938.0,3930.0,670.0,421.0
