,State,County,White Pop (25 and over),White Males (25 and over),White Male (less than High School),White Male (High School),White Male (some college),White Male (Bachelor's or higher),White Female (25 and over),White Female (less than High School),White Female (High School),White Female (some college),White Female (Bachelor's or higher),Af-Am (25 and over),Af-Am Male (25 and over),Af-Am Male (less than High School),Af-Am Male (High School),Af-Am Male (some college),Af-Am Male (Bachelor's or higher),Af-Am Female (25 and over),Af-Am Female (less than High School),Af-Am Female (High School),Af-Am Female (some college),Af-Am Female (Bachelor's or higher)
759,Indiana,Adams County,20420.0,9856.0,1551.0,4343.0,2332.0,1630.0,10564.0,1543.0,4231.0,3223.0,1567.0,51.0,21.0,12.0,9.0,0.0,0.0,30.0,29.0,0.0,0.0,1.0
760,Indiana,Allen County,196491.0,94430.0,8658.0,26820.0,30917.0,28035.0,102061.0,7944.0,30166.0,34391.0,29560.0,24126.0,10823.0,2307.0,3695.0,3346.0,1475.0,13303.0,1947.0,4419.0,5211.0,1726.0
761,Indiana,Bartholomew County,47511.0,22931.0,2132.0,8974.0,5477.0,6348.0,24580.0,2009.0,8827.0,7451.0,6293.0,1061.0,606.0,114.0,69.0,170.0,253.0,455.0,13.0,184.0,168.0,90.0
762,Indiana,Benton County,5732.0,2759.0,271.0,1289.0,779.0,420.0,2973.0,324.0,1306.0,797.0,546.0,34.0,12.0,1.0,0.0,2.0,9.0,22.0,0.0,13.0,9.0,0.0
763,Indiana,Blackford County,8509.0,4084.0,582.0,1972.0,1074.0,456.0,4425.0,493.0,2185.0,1249.0,498.0,40.0,40.0,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
764,Indiana,Boone County,38552.0,18632.0,1374.0,4782.0,4086.0,8390.0,19920.0,1181.0,5260.0,4921.0,8558.0,484.0,224.0,4.0,79.0,40.0,101.0,260.0,17.0,132.0,33.0,78.0
765,Indiana,Brown County,10809.0,5387.0,601.0,2106.0,1464.0,1216.0,5422.0,482.0,1846.0,1738.0,1356.0,20.0,9.0,0.0,0.0,6.0,3.0,11.0,2.0,0.0,0.0,9.0
766,Indiana,Carroll County,13472.0,6608.0,820.0,2822.0,1959.0,1007.0,6864.0,799.0,2770.0,1997.0,1298.0,62.0,28.0,9.0,9.0,0.0,10.0,34.0,4.0,0.0,0.0,30.0
767,Indiana,Cass County,23000.0,11001.0,1504.0,4837.0,3131.0,1529.0,11999.0,1411.0,4692.0,4094.0,1802.0,334.0,202.0,88.0,56.0,48.0,10.0,132.0,15.0,24.0,11.0,82.0
768,Indiana,Clark County,71009.0,34106.0,4200.0,12421.0,10915.0,6570.0,36903.0,4196.0,12112.0,12602.0,7993.0,5283.0,2599.0,410.0,1052.0,855.0,282.0,2684.0,275.0,747.0,1217.0,445.0
769,Indiana,Clay County,17889.0,8652.0,982.0,4141.0,2205.0,1324.0,9237.0,855.0,3867.0,2812.0,1703.0,52.0,40.0,0.0,24.0,16.0,0.0,12.0,0.0,12.0,0.0,0.0
770,Indiana,Clinton County,20439.0,9900.0,1267.0,4664.0,2659.0,1310.0,10539.0,1262.0,4734.0,2731.0,1812.0,143.0,83.0,33.0,35.0,15.0,0.0,60.0,39.0,15.0,0.0,6.0
771,Indiana,Crawford County,7231.0,3664.0,714.0,1801.0,833.0,316.0,3567.0,499.0,1691.0,977.0,400.0,16.0,4.0,0.0,3.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0
772,Indiana,Daviess County,19483.0,9478.0,2533.0,3475.0,2232.0,1238.0,10005.0,2312.0,3622.0,2581.0,1490.0,261.0,130.0,40.0,47.0,27.0,16.0,131.0,0.0,119.0,12.0,0.0
773,Indiana,Dearborn County,33127.0,16299.0,1749.0,6708.0,4932.0,2910.0,16828.0,1336.0,6611.0,5097.0,3784.0,246.0,134.0,7.0,90.0,25.0,12.0,112.0,28.0,56.0,18.0,10.0
774,Indiana,Decatur County,17081.0,8297.0,1007.0,3736.0,2162.0,1392.0,8784.0,872.0,3774.0,2545.0,1593.0,103.0,69.0,37.0,10.0,0.0,22.0,34.0,0.0,28.0,0.0,6.0
775,Indiana,DeKalb County,27703.0,13536.0,1387.0,5835.0,3924.0,2390.0,14167.0,1418.0,5809.0,4552.0,2388.0,65.0,25.0,15.0,0.0,3.0,7.0,40.0,0.0,0.0,17.0,23.0
776,Indiana,Delaware County,64682.0,30762.0,3362.0,11613.0,8792.0,6995.0,33920.0,3162.0,11782.0,10617.0,8359.0,3648.0,1768.0,222.0,504.0,786.0,256.0,1880.0,288.0,560.0,725.0,307.0
