,State,County,White Pop (25 and over),White Males (25 and over),White Male (Bachelor's or higher),White Male (Bachelor's or higher) %,White Female (25 and over),White Female (Bachelor's or higher),White Female (Bachelor's or higher) %,Af-Am (25 and over),Af-Am Male (25 and over),Af-Am Male (25 and over) %,Af-Am Male (Bachelor's or higher),Af-Am Female (25 and over),Af-Am Female (Bachelor's or higher),Af-Am Female (Bachelor's or higher) %
759,Indiana,Adams County,20420,9856,1630,16.54%,10564,1567,14.83%,51,21,41.18%,0,30,1,3.33%
760,Indiana,Allen County,196491,94430,28035,29.69%,102061,29560,28.96%,24126,10823,44.86%,1475,13303,1726,12.97%
761,Indiana,Bartholomew County,47511,22931,6348,27.68%,24580,6293,25.60%,1061,606,57.12%,253,455,90,19.78%
762,Indiana,Benton County,5732,2759,420,15.22%,2973,546,18.37%,34,12,35.29%,9,22,0,0.00%
763,Indiana,Blackford County,8509,4084,456,11.17%,4425,498,11.25%,40,40,100.00%,0,0,0,#DIV/0!
764,Indiana,Boone County,38552,18632,8390,45.03%,19920,8558,42.96%,484,224,46.28%,101,260,78,30.00%
765,Indiana,Brown County,10809,5387,1216,22.57%,5422,1356,25.01%,20,9,45.00%,3,11,9,81.82%
766,Indiana,Carroll County,13472,6608,1007,15.24%,6864,1298,18.91%,62,28,45.16%,10,34,30,88.24%
767,Indiana,Cass County,23000,11001,1529,13.90%,11999,1802,15.02%,334,202,60.48%,10,132,82,62.12%
768,Indiana,Clark County,71009,34106,6570,19.26%,36903,7993,21.66%,5283,2599,49.20%,282,2684,445,16.58%
769,Indiana,Clay County,17889,8652,1324,15.30%,9237,1703,18.44%,52,40,76.92%,0,12,0,0.00%
770,Indiana,Clinton County,20439,9900,1310,13.23%,10539,1812,17.19%,143,83,58.04%,0,60,6,10.00%
771,Indiana,Crawford County,7231,3664,316,8.62%,3567,400,11.21%,16,4,25.00%,0,12,0,0.00%
772,Indiana,Daviess County,19483,9478,1238,13.06%,10005,1490,14.89%,261,130,49.81%,16,131,0,0.00%
773,Indiana,Dearborn County,33127,16299,2910,17.85%,16828,3784,22.49%,246,134,54.47%,12,112,10,8.93%
774,Indiana,Decatur County,17081,8297,1392,16.78%,8784,1593,18.14%,103,69,66.99%,22,34,6,17.65%
775,Indiana,DeKalb County,27703,13536,2390,17.66%,14167,2388,16.86%,65,25,38.46%,7,40,23,57.50%
776,Indiana,Delaware County,64682,30762,6995,22.74%,33920,8359,24.64%,3648,1768,48.46%,256,1880,307,16.33%
777,Indiana,Dubois County,27740,13598,2633,19.36%,14142,2920,20.65%,47,28,59.57%,0,19,9,47.37%
778,Indiana,Elkhart County,114916,55505,10388,18.72%,59411,11398,19.18%,6393,3119,48.79%,286,3274,410,12.52%
779,Indiana,Fayette County,15903,7658,743,9.70%,8245,971,11.78%,348,148,42.53%,19,200,0,0.00%
780,Indiana,Floyd County,48176,23029,6427,27.91%,25147,6832,27.17%,2265,1019,44.99%,146,1246,164,13.16%
781,Indiana,Fountain County,11384,5507,586,10.64%,5877,1050,17.87%,35,26,74.29%,5,9,0,0.00%
782,Indiana,Franklin County,15164,7448,1261,16.93%,7716,1527,19.79%,76,52,68.42%,0,24,0,0.00%
783,Indiana,Fulton County,13304,6475,818,12.63%,6829,1043,15.27%,167,109,65.27%,20,58,0,0.00%
