,County,Pop (18-19),Pop (20),Pop (21),Pop (22-24),Pop (25-29),Pop (30-34),Pop (35-39),Pop (40-44),Pop (45-49),Pop (50-54),Pop (55-59),Pop (60-61),Pop (62-64),Pop (65-66),Pop (67-69),Pop (70-74),Pop (75-79),Pop (80-84),Pop (85 and over)
759,Adams County,780.0,490.0,535.0,1117.0,1904.0,2064.0,1864.0,1948.0,2001.0,2100.0,2032.0,877.0,1119.0,687.0,868.0,1076.0,881.0,525.0,996.0
760,Allen County,9334.0,4671.0,5232.0,15024.0,24951.0,24079.0,23368.0,22458.0,22876.0,24523.0,24219.0,8953.0,11838.0,7299.0,8902.0,11118.0,7948.0,5969.0,6697.0
761,Bartholomew County,1671.0,1035.0,804.0,3146.0,5761.0,5299.0,5000.0,5514.0,5371.0,5308.0,5222.0,1790.0,2898.0,1873.0,2127.0,2941.0,2172.0,1500.0,1379.0
762,Benton County,184.0,64.0,105.0,319.0,460.0,509.0,437.0,560.0,593.0,671.0,653.0,222.0,310.0,166.0,249.0,391.0,277.0,157.0,177.0
763,Blackford County,285.0,114.0,120.0,448.0,698.0,640.0,588.0,800.0,790.0,918.0,901.0,324.0,591.0,395.0,391.0,580.0,511.0,289.0,284.0
764,Boone County,1360.0,621.0,446.0,1984.0,3316.0,3641.0,3685.0,4882.0,4748.0,4940.0,4356.0,1407.0,1929.0,1058.0,1065.0,2348.0,1118.0,1258.0,984.0
765,Brown County,362.0,118.0,155.0,353.0,593.0,682.0,734.0,887.0,1019.0,1188.0,1505.0,415.0,853.0,607.0,678.0,776.0,442.0,327.0,319.0
766,Carroll County,480.0,235.0,154.0,639.0,996.0,1043.0,1179.0,1355.0,1234.0,1544.0,1522.0,499.0,916.0,475.0,642.0,917.0,762.0,335.0,422.0
767,Cass County,908.0,577.0,372.0,1396.0,2113.0,2199.0,2144.0,2659.0,2620.0,2773.0,2742.0,941.0,1480.0,860.0,1109.0,1378.0,1162.0,812.0,879.0
768,Clark County,2401.0,1647.0,1321.0,3861.0,7841.0,7939.0,7542.0,8092.0,7688.0,8011.0,7747.0,3060.0,4333.0,2234.0,3277.0,4199.0,2445.0,2077.0,1966.0
769,Clay County,577.0,406.0,216.0,893.0,1669.0,1552.0,1616.0,1627.0,1742.0,1952.0,1656.0,722.0,1343.0,526.0,826.0,1062.0,657.0,630.0,668.0
