,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
0,Indiana,IN,Adams County,2802,9642,13039,0.21489378,0.739473886,34813.0,33743.0,247.0,121.0,1533.0,33.7,32.0,36.0,217.0,7627.0,1088.0,1594.0,2311.0,768.0,126.0,64.0,47572.0,21173.0,114600.0,15975.0,8948.0,872.0
1,Indiana,IN,Allen County,55222,83801,145787,0.37878548799999995,0.574818056,365565.0,290987.0,42168.0,12228.0,25810.0,35.6,34.6,36.7,2265.0,58807.0,9682.0,23158.0,42160.0,16367.0,4152.0,1694.0,49574.0,26058.0,116400.0,186706.0,93216.0,13152.0
2,Indiana,IN,Bartholomew County,9841,20637,32389,0.303837723,0.637160764,80203.0,69108.0,1522.0,4585.0,5079.0,37.9,36.4,39.1,527.0,15840.0,3056.0,4588.0,9685.0,5255.0,499.0,632.0,55874.0,28631.0,137500.0,41710.0,21169.0,2165.0
3,Indiana,IN,Benton County,860,2579,3654,0.23535851100000002,0.705801861,8709.0,8516.0,80.0,18.0,449.0,40.5,37.4,42.5,23.0,2325.0,304.0,471.0,753.0,188.0,42.0,12.0,48069.0,23181.0,81500.0,4368.0,2364.0,201.0
4,Indiana,IN,Blackford County,1243,3349,4822,0.257776856,0.694525093,12364.0,12036.0,75.0,38.0,176.0,43.4,42.1,45.8,47.0,3748.0,447.0,755.0,546.0,315.0,51.0,42.0,38791.0,21980.0,67100.0,5763.0,4263.0,480.0
5,Indiana,IN,Boone County,10181,19654,32061,0.317550919,0.613018933,61884.0,58207.0,807.0,1497.0,1603.0,38.9,37.3,40.2,283.0,9031.0,1309.0,3025.0,10613.0,4608.0,1828.0,1084.0,72774.0,40487.0,195900.0,32688.0,14337.0,1074.0
6,Indiana,IN,Brown County,2518,5015,7908,0.318411735,0.634167931,14965.0,14542.0,41.0,44.0,230.0,48.3,47.0,49.3,40.0,3295.0,685.0,914.0,1238.0,1076.0,169.0,105.0,56323.0,30279.0,171600.0,7330.0,5053.0,412.0
7,Indiana,IN,Carroll County,1891,6273,8609,0.219653851,0.728656058,20007.0,19407.0,90.0,18.0,788.0,42.3,41.1,43.4,116.0,5071.0,574.0,1193.0,1595.0,624.0,146.0,47.0,54140.0,25647.0,119200.0,10078.0,5916.0,697.0
8,Indiana,IN,Cass County,3758,9697,14135,0.265864874,0.686027591,38324.0,32533.0,562.0,566.0,5391.0,40.5,38.9,42.4,543.0,8775.0,1444.0,2257.0,2335.0,987.0,152.0,135.0,43918.0,22625.0,82500.0,18863.0,11557.0,1429.0
9,Indiana,IN,Clark County,18791,30012,51104,0.367701158,0.587273012,113993.0,100506.0,7917.0,891.0,5833.0,38.8,37.8,39.8,753.0,21686.0,5062.0,7331.0,11116.0,3558.0,670.0,502.0,51844.0,25693.0,129500.0,59014.0,31706.0,3664.0
10,Indiana,IN,Clay County,2306,8528,11259,0.20481392699999998,0.7574384940000001,26568.0,25848.0,64.0,22.0,344.0,40.4,40.0,41.2,149.0,7071.0,1098.0,1813.0,2007.0,814.0,201.0,67.0,49735.0,22913.0,96600.0,12906.0,8144.0,830.0
11,Indiana,IN,Clinton County,2819,8530,11896,0.23697041,0.7170477470000001,32692.0,30571.0,357.0,69.0,4812.0,38.6,37.1,39.8,312.0,8429.0,1275.0,1535.0,2170.0,887.0,94.0,40.0,50096.0,23260.0,98700.0,16268.0,8714.0,977.0
12,Indiana,IN,Crawford County,1323,3013,4591,0.288172511,0.656284034,10582.0,10322.0,19.0,14.0,154.0,43.3,43.3,43.2,84.0,2767.0,766.0,519.0,437.0,221.0,57.0,11.0,41173.0,19756.0,88600.0,4626.0,3867.0,290.0
13,Indiana,IN,Daviess County,1800,8545,10736,0.167660209,0.7959202679999999,32583.0,31171.0,583.0,89.0,1508.0,34.6,32.6,36.5,345.0,6372.0,923.0,1946.0,1721.0,892.0,148.0,52.0,47939.0,21472.0,113600.0,15334.0,8778.0,836.0
14,Indiana,IN,Dearborn County,4883,18110,23910,0.20422417399999998,0.757423672,49552.0,48123.0,417.0,207.0,584.0,42.3,41.4,42.9,208.0,12022.0,1635.0,3195.0,4561.0,1816.0,352.0,60.0,60834.0,28471.0,159800.0,26556.0,12833.0,1886.0
