,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Total Educ Pop,Education (H.S. or Less),Education (H.S. or Less) %,Education (Some College or More),Education (Some College or More) %,Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
0,Indiana,IN,Adams County,2802,9642,13039,21.49,73.95,34813,33743,247,121,1533,34,32,36,217,7627,1088,1594,2311,768,126,64,13795,8932,64.75,4863,35.25,47572,21173,114600,15975,8948,872
1,Indiana,IN,Allen County,55222,83801,145787,37.88,57.48,365565,290987,42168,12228,25810,36,35,37,2265,58807,9682,23158,42160,16367,4152,1694,158285,70754,44.7,87531,55.3,49574,26058,116400,186706,93216,13152
2,Indiana,IN,Bartholomew County,9841,20637,32389,30.38,63.72,80203,69108,1522,4585,5079,38,36,39,527,15840,3056,4588,9685,5255,499,632,40082,19423,48.46,20659,51.54,55874,28631,137500,41710,21169,2165
3,Indiana,IN,Benton County,860,2579,3654,23.54,70.58,8709,8516,80,18,449,41,37,43,23,2325,304,471,753,188,42,12,4118,2652,64.4,1466,35.6,48069,23181,81500,4368,2364,201
4,Indiana,IN,Blackford County,1243,3349,4822,25.78,69.45,12364,12036,75,38,176,43,42,46,47,3748,447,755,546,315,51,42,5951,4242,71.28,1709,28.72,38791,21980,67100,5763,4263,480
5,Indiana,IN,Boone County,10181,19654,32061,31.76,61.3,61884,58207,807,1497,1603,39,37,40,283,9031,1309,3025,10613,4608,1828,1084,31781,10623,33.43,21158,66.57,72774,40487,195900,32688,14337,1074
6,Indiana,IN,Brown County,2518,5015,7908,31.84,63.42,14965,14542,41,44,230,48,47,49,40,3295,685,914,1238,1076,169,105,7522,4020,53.44,3502,46.56,56323,30279,171600,7330,5053,412
7,Indiana,IN,Carroll County,1891,6273,8609,21.97,72.87,20007,19407,90,18,788,42,41,43,116,5071,574,1193,1595,624,146,47,9366,5761,61.51,3605,38.49,54140,25647,119200,10078,5916,697
8,Indiana,IN,Cass County,3758,9697,14135,26.59,68.6,38324,32533,562,566,5391,41,39,42,543,8775,1444,2257,2335,987,152,135,16628,10762,64.72,5866,35.28,43918,22625,82500,18863,11557,1429
9,Indiana,IN,Clark County,18791,30012,51104,36.77,58.73,113993,100506,7917,891,5833,39,38,40,753,21686,5062,7331,11116,3558,670,502,50678,27501,54.27,23177,45.73,51844,25693,129500,59014,31706,3664
10,Indiana,IN,Clay County,2306,8528,11259,20.48,75.74,26568,25848,64,22,344,40,40,41,149,7071,1098,1813,2007,814,201,67,13220,8318,62.92,4902,37.08,49735,22913,96600,12906,8144,830
